agent.name,package.name,package.version,vulnerability.description,vulnerability.severity,vulnerability.id
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Concurrent execution using shared resource with improper synchronization ('race condition') in Microsoft Wireless Provisioning System allows an authorized attacker to elevate privileges locally.,High,CVE-2025-62218
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows Ancillary Function Driver for WinSock allows an authorized attacker to elevate privileges locally.,High,CVE-2025-62217
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Insertion of sensitive information into log file in Windows License Manager allows an authorized attacker to disclose information locally.,Medium,CVE-2025-62209
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Heap-based buffer overflow in Microsoft Graphics Component allows an unauthorized attacker to execute code over a network.,Critical,CVE-2025-60724
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows DirectX allows an authorized attacker to deny service over a network.,Medium,CVE-2025-60723
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Buffer over-read in Windows TDX.sys allows an authorized attacker to elevate privileges locally.,High,CVE-2025-60720
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Untrusted pointer dereference in Windows Ancillary Function Driver for WinSock allows an authorized attacker to elevate privileges locally.,High,CVE-2025-60719
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows DirectX allows an authorized attacker to elevate privileges locally.,High,CVE-2025-60716
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Heap-based buffer overflow in Windows Routing and Remote Access Service (RRAS) allows an authorized attacker to execute code over a network.,High,CVE-2025-60715
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Heap-based buffer overflow in Windows OLE allows an unauthorized attacker to execute code locally.,High,CVE-2025-60714
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Out-of-bounds read in Windows Common Log File System Driver allows an authorized attacker to elevate privileges locally.,High,CVE-2025-60709
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Untrusted pointer dereference in Storvsp.sys Driver allows an authorized attacker to deny service locally.,Medium,CVE-2025-60708
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Multimedia Class Scheduler Service (MMCSS) allows an authorized attacker to elevate privileges locally.,High,CVE-2025-60707
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Out-of-bounds read in Windows Hyper-V allows an authorized attacker to disclose information locally.,Medium,CVE-2025-60706
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Untrusted pointer dereference in Windows Remote Desktop allows an authorized attacker to elevate privileges locally.,High,CVE-2025-60703
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper access control in Windows Storage VSP Driver allows an authorized attacker to elevate privileges locally.,High,CVE-2025-59517
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Missing authentication for critical function in Windows Storage VSP Driver allows an authorized attacker to elevate privileges locally.,High,CVE-2025-59516
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows Broadcast DVR User Service allows an authorized attacker to elevate privileges locally.,High,CVE-2025-59515
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper privilege management in Microsoft Streaming Service allows an authorized attacker to elevate privileges locally.,High,CVE-2025-59514
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Out-of-bounds read in Windows Bluetooth RFCOM Protocol Driver allows an authorized attacker to disclose information locally.,Medium,CVE-2025-59513
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper access control in Customer Experience Improvement Program (CEIP) allows an authorized attacker to elevate privileges locally.,High,CVE-2025-59512
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,External control of file name or path in Windows WLAN Service allows an authorized attacker to elevate privileges locally.,High,CVE-2025-59511
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Insertion of sensitive information into sent data in Windows Speech allows an authorized attacker to disclose information locally.,Medium,CVE-2025-59509
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows Speech allows an authorized attacker to elevate privileges locally.,High,CVE-2025-59508
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows DirectX allows an authorized attacker to elevate privileges locally.,High,CVE-2025-59506
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Heap-based buffer overflow in Internet Explorer allows an unauthorized attacker to execute code over a network.,High,CVE-2025-59295
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Exposure of sensitive information to an unauthorized actor in Windows Taskbar Live allows an unauthorized attacker to disclose information with a physical attack.,Low,CVE-2025-59294
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows Bluetooth Service allows an authorized attacker to elevate privileges locally.,High,CVE-2025-59290
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper input validation in Windows Installer allows an authorized attacker to elevate privileges locally.,High,CVE-2025-62571
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper validation of specified type of input in Windows Authentication Methods allows an authorized attacker to elevate privileges locally.,High,CVE-2025-59278
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper access control in Microsoft Windows Search Component allows an authorized attacker to deny service locally.,Medium,CVE-2025-59253
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Heap-based buffer overflow in Windows Ancillary Function Driver for WinSock allows an authorized attacker to elevate privileges locally.,High,CVE-2025-59242
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper access control in Windows Remote Access Connection Manager allows an authorized attacker to elevate privileges locally.,High,CVE-2025-59230
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows Bluetooth Service allows an authorized attacker to elevate privileges locally.,High,CVE-2025-59220
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Exposure of sensitive information to an unauthorized actor in Windows Push Notification Core allows an authorized attacker to disclose information locally.,Medium,CVE-2025-59209
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Out-of-bounds read in Windows MapUrlToZone allows an unauthorized attacker to disclose information over a network.,High,CVE-2025-59208
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Untrusted pointer dereference in Windows Kernel allows an authorized attacker to elevate privileges locally.,High,CVE-2025-59207
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use of uninitialized resource in Windows Management Services allows an authorized attacker to disclose information locally.,Medium,CVE-2025-59204
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Insertion of sensitive information into log file in Windows StateRepository API allows an authorized attacker to disclose information locally.,Medium,CVE-2025-59203
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows Remote Desktop Services allows an authorized attacker to elevate privileges locally.,High,CVE-2025-59202
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper access control in Software Protection Platform (SPP) allows an authorized attacker to elevate privileges locally.,High,CVE-2025-59199
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper input validation in Microsoft Windows Search Component allows an authorized attacker to deny service locally.,Medium,CVE-2025-59198
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Insertion of sensitive information into log file in Windows ETL Channel allows an authorized attacker to disclose information locally.,Medium,CVE-2025-59197
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows SSDP Service allows an authorized attacker to elevate privileges locally.,High,CVE-2025-59196
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Concurrent execution using shared resource with improper synchronization ('race condition') in Microsoft Graphics Component allows an authorized attacker to deny service locally.,High,CVE-2025-59195
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,External control of file name or path in Windows Core Shell allows an unauthorized attacker to perform spoofing over a network.,Medium,CVE-2025-59185
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Exposure of sensitive information to an unauthorized actor in Windows File Explorer allows an unauthorized attacker to perform spoofing over a network.,Medium,CVE-2025-58739
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Inbox COM Objects allows an unauthorized attacker to execute code locally.,High,CVE-2025-58736
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Inbox COM Objects allows an unauthorized attacker to execute code locally.,High,CVE-2025-58735
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Inbox COM Objects allows an unauthorized attacker to execute code locally.,High,CVE-2025-58733
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows Bluetooth Service allows an authorized attacker to elevate privileges locally.,High,CVE-2025-58728
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows Connected Devices Platform Service allows an authorized attacker to elevate privileges locally.,High,CVE-2025-58727
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper access control in Windows SMB Server allows an authorized attacker to elevate privileges over a network.,High,CVE-2025-58726
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Heap-based buffer overflow in Windows COM allows an authorized attacker to elevate privileges locally.,High,CVE-2025-58725
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows Cloud Files Mini Filter Driver allows an authorized attacker to elevate privileges locally.,High,CVE-2025-62221
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Heap-based buffer overflow in Windows DWM allows an authorized attacker to elevate privileges locally.,High,CVE-2025-58722
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use of a cryptographic primitive with a risky implementation in Windows Cryptographic Services allows an authorized attacker to disclose information locally.,High,CVE-2025-58720
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Connected Devices Platform Service (Cdpsvc) allows an authorized attacker to elevate privileges locally.,Medium,CVE-2025-58719
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Out-of-bounds read in Windows Routing and Remote Access Service (RRAS) allows an unauthorized attacker to disclose information over a network.,Medium,CVE-2025-58717
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper input validation in Microsoft Windows Speech allows an authorized attacker to elevate privileges locally.,High,CVE-2025-58716
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Out-of-bounds read in Windows Routing and Remote Access Service (RRAS) allows an unauthorized attacker to disclose information over a network.,Medium,CVE-2025-55700
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Exposure of sensitive information to an unauthorized actor in Windows Kernel allows an authorized attacker to disclose information locally.,Medium,CVE-2025-55699
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Out-of-bounds read in Windows WLAN Auto Config Service allows an authorized attacker to disclose information locally.,Low,CVE-2025-55695
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper input validation in Windows Error Reporting allows an authorized attacker to elevate privileges locally.,High,CVE-2025-55692
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Inbox COM Objects allows an unauthorized attacker to execute code locally.,High,CVE-2025-58732
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows PrintWorkflowUserSvc allows an authorized attacker to elevate privileges locally.,High,CVE-2025-55689
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows Resilient File System (ReFS) allows an unauthorized attacker to elevate privileges locally.,High,CVE-2025-55687
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows PrintWorkflowUserSvc allows an authorized attacker to elevate privileges locally.,High,CVE-2025-55685
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper input validation in Windows Kernel allows an unauthorized attacker to disclose information locally.,Medium,CVE-2025-55679
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows DirectX allows an authorized attacker to elevate privileges locally.,High,CVE-2025-55678
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper authentication in Windows Remote Desktop Protocol allows an authorized attacker to bypass a security feature locally.,High,CVE-2025-55340
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Missing Ability to Patch ROM Code in Windows BitLocker allows an unauthorized attacker to bypass a security feature with a physical attack.,Medium,CVE-2025-55338
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Exposure of sensitive information to an unauthorized actor in Windows Cloud Files Mini Filter Driver allows an authorized attacker to disclose information locally.,Medium,CVE-2025-55336
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows NTFS allows an unauthorized attacker to elevate privileges locally.,High,CVE-2025-55335
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Incomplete comparison with missing factors in Windows BitLocker allows an unauthorized attacker to bypass a security feature with a physical attack.,Medium,CVE-2025-55333
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper enforcement of behavioral workflow in Windows BitLocker allows an unauthorized attacker to bypass a security feature with a physical attack.,Medium,CVE-2025-55332
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows PrintWorkflowUserSvc allows an authorized attacker to elevate privileges locally.,High,CVE-2025-55331
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Buffer over-read in Windows Storage Management Provider allows an authorized attacker to disclose information locally.,Medium,CVE-2025-55325
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Time-of-check time-of-use (toctou) race condition in Graphics Kernel allows an authorized attacker to execute code locally.,High,CVE-2025-55236
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,"SMB Server might be susceptible to relay attacks depending on the configuration. An attacker who successfully exploited these vulnerabilities could perform relay attacks and make the users subject to elevation of privilege attacks.
The SMB Server already supports mechanisms for hardening against relay attacks:

SMB Server signing
SMB Server Extended Protection for Authentication (EPA)

Microsoft is releasing this CVE to provide customers with audit capabilities to help them to assess their environment and to identify any potential device or software incompatibility issues before deploying SMB Server hardening measures that protect against relay attacks.
If you have not already enabled SMB Server hardening measures, we advise customers to take the following actions to be protected from these relay attacks:

Assess your environment by utilizing the audit capabilities that we are exposing in the September 2025 security updates.  See Support for Audit Events to deploy SMB Server Hardening—SMB Server Signing &amp; SMB Server EPA.
Adopt appropriate SMB Server hardening measures.",High,CVE-2025-55234
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Out-of-bounds read in Windows Projected File System allows an authorized attacker to elevate privileges locally.,High,CVE-2025-55233
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper verification of cryptographic signature in Windows Certificates allows an unauthorized attacker to perform spoofing over a network.,Medium,CVE-2025-55229
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper validation of specified type of input in Microsoft Windows allows an authorized attacker to elevate privileges locally.,High,CVE-2025-55701
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows Win32K - GRFX allows an authorized attacker to execute code locally.,High,CVE-2025-55228
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Concurrent execution using shared resource with improper synchronization ('race condition') in Graphics Kernel allows an authorized attacker to execute code locally.,Medium,CVE-2025-55226
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows Win32K - GRFX allows an authorized attacker to execute code locally.,High,CVE-2025-55224
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Concurrent execution using shared resource with improper synchronization ('race condition') in Graphics Kernel allows an authorized attacker to elevate privileges locally.,High,CVE-2025-55223
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows Win32K - GRFX allows an authorized attacker to execute code locally.,High,CVE-2025-54919
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Access of resource using incompatible type ('type confusion') in Windows Defender Firewall Service allows an authorized attacker to elevate privileges locally.,Medium,CVE-2025-54915
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows UI XAML Maps MapControlSettings allows an authorized attacker to elevate privileges locally.,High,CVE-2025-54913
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows BitLocker allows an authorized attacker to elevate privileges locally.,High,CVE-2025-54912
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper access control in Windows MultiPoint Services allows an authorized attacker to elevate privileges locally.,High,CVE-2025-54116
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows Hyper-V allows an authorized attacker to elevate privileges locally.,High,CVE-2025-54115
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Microsoft Virtual Hard Drive allows an authorized attacker to elevate privileges locally.,High,CVE-2025-54112
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows UI XAML Phone DatePickerFlyout allows an authorized attacker to elevate privileges locally.,High,CVE-2025-54111
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Integer overflow or wraparound in Windows Kernel allows an authorized attacker to elevate privileges locally.,High,CVE-2025-54110
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Access of resource using incompatible type ('type confusion') in Windows Defender Firewall Service allows an authorized attacker to elevate privileges locally.,Medium,CVE-2025-54109
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper resolution of path equivalence in Windows MapUrlToZone allows an unauthorized attacker to bypass a security feature over a network.,Medium,CVE-2025-54107
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Access of resource using incompatible type ('type confusion') in Windows Defender Firewall Service allows an authorized attacker to elevate privileges locally.,Medium,CVE-2025-54104
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows Management Services allows an unauthorized attacker to elevate privileges locally.,High,CVE-2025-54103
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows Connected Devices Platform Service allows an authorized attacker to elevate privileges locally.,High,CVE-2025-54102
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows SMBv3 Client allows an authorized attacker to execute code over a network.,Medium,CVE-2025-54101
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Stack-based buffer overflow in Windows Ancillary Function Driver for WinSock allows an authorized attacker to elevate privileges locally.,High,CVE-2025-54099
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper access control in Windows Hyper-V allows an authorized attacker to elevate privileges locally.,High,CVE-2025-54098
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Access of resource using incompatible type ('type confusion') in Windows Defender Firewall Service allows an authorized attacker to elevate privileges locally.,Medium,CVE-2025-54094
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Time-of-check time-of-use (toctou) race condition in Windows TCP/IP allows an authorized attacker to elevate privileges locally.,High,CVE-2025-54093
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows Hyper-V allows an authorized attacker to elevate privileges locally.,High,CVE-2025-54092
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Integer overflow or wraparound in Windows Hyper-V allows an authorized attacker to elevate privileges locally.,High,CVE-2025-54091
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Access of resource using incompatible type ('type confusion') in Windows Defender Firewall Service allows an authorized attacker to elevate privileges locally.,Medium,CVE-2025-53810
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Concurrent execution using shared resource with improper synchronization ('race condition') in Microsoft Graphics Component allows an authorized attacker to elevate privileges locally.,High,CVE-2025-53807
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Exposure of sensitive information to an unauthorized actor in Windows Kernel allows an authorized attacker to disclose information locally.,Medium,CVE-2025-53804
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Generation of error message containing sensitive information in Windows Kernel allows an authorized attacker to disclose information locally.,Medium,CVE-2025-53803
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows Bluetooth Service allows an authorized attacker to elevate privileges locally.,High,CVE-2025-53802
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,No cwe for this issue in Microsoft Graphics Component allows an authorized attacker to elevate privileges locally.,High,CVE-2025-53800
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use of uninitialized resource in Windows Imaging Component allows an unauthorized attacker to disclose information locally.,Medium,CVE-2025-53799
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Missing authentication for critical function in Windows StateRepository API allows an authorized attacker to elevate privileges locally.,High,CVE-2025-53789
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Xbox allows an authorized attacker to elevate privileges locally.,High,CVE-2025-53768
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Access of resource using incompatible type ('type confusion') in Windows Push Notifications allows an authorized attacker to elevate privileges locally.,High,CVE-2025-53724
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows Connected Devices Platform Service allows an authorized attacker to elevate privileges locally.,High,CVE-2025-53721
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Null pointer dereference in Windows Local Security Authority Subsystem Service (LSASS) allows an authorized attacker to deny service over a network.,Medium,CVE-2025-53716
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Null pointer dereference in Windows Ancillary Function Driver for WinSock allows an authorized attacker to elevate privileges locally.,High,CVE-2025-53154
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows Kernel allows an authorized attacker to elevate privileges locally.,High,CVE-2025-53151
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Heap-based buffer overflow in Kernel Streaming WOW Thunk Service Driver allows an authorized attacker to elevate privileges locally.,High,CVE-2025-53149
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows Broadcast DVR User Service allows an authorized attacker to elevate privileges locally.,High,CVE-2025-60717
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows Ancillary Function Driver for WinSock allows an authorized attacker to elevate privileges locally.,High,CVE-2025-53147
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Access of resource using incompatible type ('type confusion') in Windows Message Queuing allows an authorized attacker to execute code over a network.,High,CVE-2025-53145
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Access of resource using incompatible type ('type confusion') in Windows Message Queuing allows an authorized attacker to execute code over a network.,High,CVE-2025-53144
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Access of resource using incompatible type ('type confusion') in Windows Message Queuing allows an authorized attacker to execute code over a network.,High,CVE-2025-53143
